"",".id","Date","Category","Question","Participant","University","Vote","Confidence","Comment"
"1","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Daron Acemoglu","MIT","Disagree","5","I am worried about misallocation of capital & the wrong type of risk-taking resulting from extended periods of very very low interest rates."
"2","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Alberto Alesina","Harvard","Did Not Answer","",""
"3","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Joseph Altonji","Yale","Did Not Answer","",""
"4","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Alan Auerbach","Berkeley","Disagree","5",""
"5","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","David Autor","MIT","Agree","7","Tight labor markets raise many boats. Don't let the tide out prematurely."
"6","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Katherine Baicker","Harvard","Did Not Answer","",""
"7","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Abhijit Banerjee","MIT","Agree","7",""
"8","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Marianne Bertrand","Chicago","Uncertain","1",""
"9","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Markus Brunnermeier","Princeton","Did Not Answer","",""
"10","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Raj Chetty","Harvard","Did Not Answer","",""
"11","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Judith Chevalier","Yale","Agree","4",""
"12","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","David Cutler","Harvard","Agree","3",""
"13","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Angus Deaton","Princeton","Agree","3",""
"14","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Darrell Duffie","Stanford","Strongly Disagree","9","As Gretzky said, ""skate to where the puck will be."" Inflation normally takes time to form, often 2 years or more. The Fed can judge timing."
"15","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Aaron Edlin","Berkeley","Agree","6",""
"16","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Barry Eichengreen","Berkeley","Agree","5",""
"17","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Liran Einav","Stanford","Uncertain","3",""
"18","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Ray Fair","Yale","Disagree","3",""
"19","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Amy Finkelstein","MIT","Did Not Answer","",""
"20","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Pinelopi Goldberg","Yale","Did Not Answer","",""
"21","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Austan Goolsbee","Chicago","Strongly Agree","10","Go look at their forecasts for the last 6 years. thank god they didn't act based on those."
"22","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Michael Greenstone","Chicago","Agree","4","i THINK risks of too little growth outweigh the risks of overshooting inflation target.  judgment call bc little evidence is available"
"23","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Robert Hall","Stanford","Disagree","9","Confusion here between rates of change and levels. The Fed should tighten when expected inflation is above target, not just when rising."
"24","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Oliver Hart","Harvard","Agree","7","The recovery is anemic and I am more concerned that it will fizzle than I am worried about inflation. The Fed should not be too  cautious."
"25","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Bengt Holmström","MIT","Agree","6",""
"26","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Caroline Hoxby","Stanford","Disagree","8","The statement would appear to be inconsistent with the empirical evidence of past inflation episodes."
"27","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Hilary Hoynes","Berkeley","Agree","4",""
"28","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Kenneth Judd","Stanford","No Opinion","",""
"29","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Steven Kaplan","Chicago","Disagree","7",""
"30","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Anil Kashyap","Chicago","Uncertain","7","Models focusing on uncertainty about labor mkt slack and the real rate might imply this; financial stability concerns can cut the other way-see background information here"
"31","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Pete Klenow","Stanford","Disagree","5","The Fed has been and should be forward-looking.-see background information here"
"32","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Jonathan Levin","Stanford","Uncertain","4",""
"33","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Eric Maskin","Harvard","Agree","6",""
"34","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","William Nordhaus","Yale","Agree","9","Imprecisely worded but gets the basic idea. Major point is that Fed should make sure US is not at a low nominal rate equilibrium."
"35","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Emmanuel Saez","Berkeley","Agree","5",""
"36","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Larry Samuelson","Yale","Uncertain","1","Other factors, such as unemployment and participation rates, should also enter the Fed's decision."
"37","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","José Scheinkman","Princeton","No Opinion","",""
"38","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Richard Schmalensee","MIT","No Opinion","",""
"39","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Carl Shapiro","Berkeley","Agree","3",""
"40","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Robert Shimer","Chicago","Disagree","5","The Fed should raise rates when forecast inflation is above target. Now the hard question: what forecast is better than current inflation?"
"41","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Richard Thaler","Chicago","Agree","3","Cost of waiting too long"
"42","Question A:","Tuesday, April 07, 2015","Raising Interest Rates","","Christopher Udry","Yale","No Opinion","",""
"43","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Daron Acemoglu","MIT","Agree","5",""
"44","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Alberto Alesina","Harvard","Did Not Answer","",""
"45","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Joseph Altonji","Yale","Uncertain","4",""
"46","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Alan Auerbach","Berkeley","Agree","3",""
"47","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","David Autor","MIT","Uncertain","5",""
"48","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Katherine Baicker","Harvard","Uncertain","3",""
"49","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Abhijit Banerjee","MIT","Uncertain","1",""
"50","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Marianne Bertrand","Chicago","Uncertain","3",""
"51","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Markus Brunnermeier","Princeton","Uncertain","3",""
"52","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Raj Chetty","Harvard","Uncertain","8",""
"53","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Judith Chevalier","Yale","Did Not Answer","",""
"54","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","David Cutler","Harvard","Uncertain","7",""
"55","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Angus Deaton","Princeton","Agree","1",""
"56","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Darrell Duffie","Stanford","Agree","3","If it was not to the benefit of the local government, why would they do it?"
"57","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Aaron Edlin","Berkeley","Disagree","7","The competition is fierce and the benefits uncertain.  Winners curse is likely."
"58","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Barry Eichengreen","Berkeley","Uncertain","5",""
"59","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Liran Einav","Stanford","Uncertain","6",""
"60","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Ray Fair","Yale","Uncertain","5",""
"61","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Amy Finkelstein","MIT","Did Not Answer","",""
"62","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Pinelopi Goldberg","Yale","Agree","5",""
"63","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Austan Goolsbee","Chicago","Uncertain","1",""
"64","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Michael Greenstone","Chicago","Did Not Answer","",""
"65","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Robert Hall","Stanford","Did Not Answer","",""
"66","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Oliver Hart","Harvard","Agree","5","If it's done carefully--the firms can't get the tax benefits and then leave--this can pay off for a city or state."
"67","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Bengt Holmström","MIT","Agree","7",""
"68","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Caroline Hoxby","Stanford","Did Not Answer","",""
"69","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Hilary Hoynes","Berkeley","Uncertain","9",""
"70","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Kenneth Judd","Stanford","Disagree","7","It is difficult to believe that taxation decisions are consistent with cost-benefit analysis."
"71","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Steven Kaplan","Chicago","Uncertain","5",""
"72","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Anil Kashyap","Chicago","Disagree","3","Of cours deals differ but usually the taxpayers get fleeced for a limited number of jobs that get relocated"
"73","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Pete Klenow","Stanford","Uncertain","4","It has local benefits, but the costs can outweigh them (e.g., if far enough beyond the peak of the Laffer Curve).-see background information here"
"74","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Jonathan Levin","Stanford","Uncertain","4",""
"75","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Eric Maskin","Harvard","Agree","6",""
"76","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","William Nordhaus","Yale","Uncertain","1",""
"77","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Emmanuel Saez","Berkeley","Agree","6",""
"78","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Larry Samuelson","Yale","Disagree","5","Benefits are wildly exaggerated in the popular press, and we lack definitive scientific evidence either way."
"79","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","José Scheinkman","Princeton","Strongly Disagree","7","Well documented that subsidies to sport stadiums yield negative returns and no reason to believe that it is better for other industries"
"80","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Richard Schmalensee","MIT","Uncertain","5","I doubt it but don't recall seeing anything rigorous on this."
"81","Question A:","Tuesday, March 24, 2015","Local Tax Incentives","Giving tax incentives to specific firms to locate operations in a city or state typically generates local benefits that outweigh the costs to the city and/or state providing the incentives.","Carl Shapiro","Berkeley","Did Not Answer","",""
